   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,                 lr0,                 lrf,            momentum,        weight_decay,       warmup_epochs,     warmup_momentum,      warmup_bias_lr,                 box,                 cls,              cls_pw,                 obj,              obj_pw,               iou_t,            anchor_t,            fl_gamma,               hsv_h,               hsv_s,               hsv_v,             degrees,           translate,               scale,               shear,         perspective,              flipud,              fliplr,              mosaic,               mixup,          copy_paste,             anchors
              0.9516,             0.98786,              0.9875,             0.75827,             0.02443,            0.034828,            0.011001,                0.01,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,               0.015,                 0.7,                 0.4,                   0,                 0.1,                 0.5,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,                   3
             0.58392,             0.40978,             0.43894,             0.21595,            0.037488,            0.058737,            0.031001,                0.01,                0.01,             0.96033,             0.00067,              3.2596,             0.79003,              0.0835,             0.04942,             0.50336,             0.94989,             0.78969,                   1,                 0.2,              3.1186,                   0,             0.01384,             0.58285,             0.54126,                   0,             0.09309,             0.47539,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              2.1828
             0.93711,             0.98925,             0.98478,             0.75374,            0.026956,             0.03856,            0.011189,             0.01088,                0.01,             0.92017,             0.00044,                   3,             0.67936,                 0.1,              0.0523,             0.44304,              1.1556,                   1,              1.1405,                 0.2,              4.0602,                   0,              0.0136,             0.74526,             0.39758,                   0,             0.08801,             0.48673,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              2.6159
             0.93796,             0.99107,             0.98634,              0.7482,            0.026607,            0.039887,             0.01184,             0.01066,             0.01003,             0.92017,             0.00045,              3.0117,             0.67936,             0.09516,              0.0523,             0.44304,              1.1696,             0.99666,              1.2006,                 0.2,              4.1913,                   0,             0.01388,               0.732,             0.39758,                   0,             0.08801,             0.48258,                   0,                   0,                   0,                 0.5,             0.97589,                   0,                   0,              2.6159
             0.94971,             0.97044,             0.98289,             0.75815,            0.029892,             0.03818,           0.0099451,              0.0106,                0.01,             0.92017,             0.00044,              2.8621,             0.60775,             0.09272,             0.05784,             0.36134,              1.1696,             0.99368,              1.0652,                 0.2,              4.1913,                   0,             0.01493,             0.69539,               0.449,                   0,             0.09302,             0.35911,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,                3.22
             0.62238,              0.4253,             0.43371,             0.18374,            0.047717,            0.073145,            0.033935,             0.01049,             0.01003,             0.92017,             0.00041,              3.2394,             0.78597,             0.10495,             0.05927,             0.41444,               1.196,             0.86757,              1.0183,                 0.2,              4.8111,                   0,              0.0148,             0.69654,             0.39351,                   0,             0.08689,             0.48467,                   0,                   0,                   0,                 0.5,              0.9751,                   0,                   0,                   2
             0.95241,             0.95179,             0.98323,             0.75303,            0.025371,            0.035964,            0.012012,             0.01107,             0.01047,             0.90325,             0.00042,              3.0117,             0.67583,             0.08231,             0.05231,              0.5068,              1.1696,             0.94172,              1.1474,                 0.2,              3.9553,                   0,             0.01375,             0.84772,             0.37186,                   0,             0.07965,             0.46181,                   0,                   0,                   0,                 0.5,             0.98714,                   0,                   0,              2.5696
             0.94744,             0.96117,              0.9842,             0.74092,            0.034769,            0.047052,           0.0096909,             0.01042,                0.01,             0.83683,              0.0004,              3.0117,             0.67583,             0.10169,             0.06663,             0.31718,              1.1696,              1.1836,              1.0822,                 0.2,              4.3493,                   0,             0.01356,             0.88281,             0.39126,                   0,             0.06169,             0.38384,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              3.3039
             0.91923,             0.98785,             0.98395,             0.75629,            0.025277,            0.036297,            0.012181,             0.01086,              0.0105,             0.90463,             0.00042,              2.9902,             0.67653,             0.08231,             0.05231,             0.51095,              1.1655,             0.94172,              1.1474,                 0.2,              3.9862,                   0,             0.01372,             0.84772,             0.37202,                   0,             0.07921,             0.46181,                   0,                   0,                   0,                 0.5,             0.98714,                   0,                   0,              2.5696
             0.93769,              0.9881,             0.98402,             0.73298,            0.024659,             0.03856,           0.0093924,             0.01088,                0.01,             0.96573,             0.00044,              3.1623,              0.7514,             0.11081,             0.04814,             0.39666,              1.1319,              1.0781,              1.1405,                 0.2,              3.8024,                   0,              0.0136,             0.74526,             0.39758,                   0,             0.08595,             0.48673,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,               2.931
             0.94685,             0.98197,              0.9846,             0.74957,            0.026908,             0.03845,            0.011302,             0.01102,             0.01017,             0.91847,             0.00045,               3.037,             0.67438,                 0.1,              0.0523,             0.44899,              1.1536,             0.99389,              1.1468,                 0.2,              4.0535,                   0,              0.0138,             0.75126,             0.39713,                   0,             0.08795,             0.48673,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              2.6159
             0.93739,             0.97905,              0.9828,             0.73947,            0.024899,            0.033491,           0.0094647,             0.01032,                0.01,             0.91597,             0.00044,               3.144,             0.72399,                 0.1,              0.0523,             0.42986,              1.1556,              1.0049,              1.0124,                 0.2,              3.4117,                   0,             0.01501,             0.68992,             0.41304,                   0,             0.08407,              0.4812,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,                 2.5
             0.21454,             0.42372,             0.40161,             0.20616,            0.062524,             0.11475,            0.045081,              0.0103,                0.01,             0.92324,             0.00044,              3.4733,             0.69609,             0.09406,             0.06243,             0.43449,              1.2685,              1.0786,               1.128,                 0.2,              3.3088,                   0,             0.01837,             0.78831,             0.39758,                   0,             0.09439,             0.48673,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,               3.522
              0.9401,             0.98584,             0.98378,             0.73413,            0.027274,            0.038879,             0.01126,             0.01092,                0.01,             0.91871,             0.00044,              2.9999,              0.6792,                 0.1,             0.05232,             0.43779,               1.139,              1.0013,              1.1358,                 0.2,              4.1381,                   0,             0.01372,             0.75267,             0.39758,                   0,             0.08798,             0.47358,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,               2.583
             0.94256,             0.97956,             0.98393,             0.71648,             0.02839,            0.041061,           0.0096201,             0.01256,             0.01175,             0.94748,             0.00034,              2.7332,             0.73219,             0.09799,             0.05189,             0.34659,              1.2569,              1.0901,              1.1405,                 0.2,              4.1415,                   0,             0.01025,                0.84,             0.46856,                   0,             0.09902,             0.49236,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              2.6159
             0.94702,             0.97961,             0.98362,             0.72852,            0.031055,            0.044148,            0.010764,             0.01076,                0.01,             0.93716,             0.00046,                   3,             0.63907,             0.10291,             0.06076,             0.41909,              1.1282,              1.0797,              1.2824,                 0.2,              4.1073,                   0,             0.01541,             0.76689,             0.39758,                   0,             0.10215,             0.43672,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              2.6159
              0.9411,             0.97513,             0.98352,             0.74983,            0.026752,            0.038592,            0.010972,             0.01094,             0.01008,             0.91925,             0.00044,                2.97,             0.67936,             0.09537,             0.05277,             0.44304,              1.1556,              1.0088,              1.1405,                 0.2,              4.0181,                   0,              0.0136,             0.73999,             0.40109,                   0,             0.08889,             0.48826,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              2.5256
             0.95777,             0.96674,             0.98416,             0.75877,            0.022599,            0.033141,            0.010939,             0.00954,                0.01,             0.91272,             0.00046,              3.1553,             0.65968,             0.11096,             0.04962,             0.50862,              1.1556,             0.98219,              1.0448,                 0.2,              3.3689,                   0,             0.01341,             0.72643,             0.39758,                   0,             0.08801,             0.41585,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              2.9453
             0.94126,              0.9704,             0.98427,             0.75622,            0.026274,            0.036577,            0.012563,             0.01054,             0.01036,             0.90965,             0.00042,              2.9149,             0.66431,             0.08231,             0.05231,             0.51218,              1.1408,             0.94172,              1.1204,                 0.2,              4.0734,                   0,             0.01409,             0.87419,             0.36931,                   0,             0.07779,             0.45918,                   0,                   0,                   0,                 0.5,              0.9992,                   0,                   0,               2.879
             0.94563,              0.9709,             0.98396,             0.75362,            0.030777,            0.037673,            0.010163,             0.01031,             0.01054,             0.90619,             0.00044,              2.9087,             0.62423,             0.08984,              0.0601,             0.36134,              1.2176,             0.98293,              1.0372,                 0.2,              4.1913,                   0,              0.0152,             0.69921,             0.47516,                   0,              0.0943,             0.35911,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              3.3337
             0.94514,             0.96283,             0.98205,             0.75294,            0.029709,            0.036306,           0.0087711,             0.01095,                0.01,             0.91897,             0.00044,              2.9132,             0.59308,             0.09561,             0.06038,             0.35667,              1.1337,             0.99368,               1.077,                 0.2,              3.8041,                   0,             0.01494,             0.68636,             0.46364,                   0,             0.08856,             0.35841,                   0,                   0,                   0,                 0.5,             0.98425,                   0,                   0,                3.22
             0.95317,             0.95616,             0.98322,             0.75672,            0.029561,            0.038109,           0.0099555,              0.0106,                0.01,             0.92017,             0.00044,              2.8723,             0.60695,             0.09267,             0.05765,              0.3616,              1.1712,             0.99036,              1.0674,                 0.2,              4.1989,                   0,             0.01491,             0.69557,               0.449,                   0,             0.09289,             0.35911,                   0,                   0,                   0,                 0.5,             0.99917,                   0,                   0,               3.258
             0.72464,             0.25372,             0.41165,             0.21359,            0.068714,             0.11232,            0.038744,              0.0106,             0.01013,             0.91602,             0.00043,              2.7515,             0.56923,             0.08668,             0.05611,             0.37376,              1.1657,              1.0252,              1.0727,                 0.2,              4.3013,                   0,             0.01455,               0.684,             0.45727,                   0,             0.09223,             0.35911,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,               3.554
             0.91443,             0.97585,             0.97185,             0.75726,            0.035671,            0.044044,            0.012586,              0.0125,             0.01196,             0.85625,             0.00044,              2.5626,             0.43409,             0.09272,             0.06275,             0.38371,             0.92007,             0.93808,              1.0512,                 0.2,              5.0754,                   0,             0.01493,             0.69539,             0.47336,                   0,             0.08351,             0.34379,                   0,                   0,                   0,                 0.5,             0.93807,                   0,                   0,              3.2111
             0.29632,             0.41391,             0.43838,              0.2326,            0.052328,            0.082321,            0.031765,             0.01432,                0.01,             0.88914,             0.00055,              2.7987,             0.59711,             0.09417,             0.04851,             0.31344,              1.1604,             0.74818,              1.0652,                 0.2,              3.7112,                   0,             0.01403,             0.83734,             0.42557,                   0,             0.09302,             0.24754,                   0,                   0,                   0,                 0.5,              0.9102,                   0,                   0,              4.0505
             0.53496,             0.35795,             0.38868,             0.20048,            0.049961,            0.077807,            0.031929,              0.0106,                0.01,             0.93286,             0.00031,              2.8621,             0.62536,             0.09841,             0.05784,             0.40518,              1.0004,             0.86782,              1.0596,                 0.2,              4.5195,                   0,             0.01493,             0.56777,             0.29377,                   0,             0.07932,              0.4583,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,                   2
             0.92557,             0.97652,             0.98065,             0.76024,             0.03134,            0.042191,             0.01189,             0.01022,             0.01038,             0.92507,             0.00041,               3.045,             0.60625,             0.09931,             0.05784,             0.35399,              1.1955,              1.0137,              1.0133,                 0.2,                4.68,                   0,             0.01434,             0.70715,             0.44544,                   0,             0.09556,             0.37628,                   0,                   0,                   0,                 0.5,             0.97099,                   0,                   0,                3.22
             0.95203,             0.96328,             0.98306,             0.75495,            0.029604,            0.038203,           0.0095977,              0.0103,                0.01,             0.92425,             0.00044,              2.8701,             0.58393,             0.09499,             0.05856,             0.36134,              1.1727,              1.0169,              1.0422,                 0.2,              4.1136,                   0,             0.01395,              0.6718,             0.42887,                   0,             0.08736,             0.35911,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              3.2489
             0.93643,             0.96265,             0.97939,             0.74928,            0.031146,            0.039579,            0.012336,             0.01066,                0.01,             0.92653,             0.00048,              2.8621,             0.61538,             0.09786,             0.05902,             0.40528,              1.1696,             0.97858,              1.0154,                 0.2,               4.502,                   0,             0.01565,             0.65228,              0.4691,                   0,             0.09302,             0.35911,                   0,                   0,                   0,                 0.5,              0.9324,                   0,                   0,              3.3697
             0.92697,             0.98939,             0.98122,             0.72946,            0.031048,            0.039827,           0.0096387,             0.01108,                0.01,             0.92041,             0.00044,              2.7011,             0.66512,             0.09272,             0.05784,             0.38405,             0.91774,              0.9763,              1.2061,                 0.2,              4.2622,                   0,             0.01838,             0.71937,             0.50371,                   0,             0.08491,             0.35911,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,                3.22
             0.93615,             0.96546,             0.97954,             0.74673,            0.029632,            0.036658,            0.009379,             0.01143,                0.01,             0.93397,             0.00048,               2.694,              0.5646,             0.09272,             0.05821,             0.33347,               1.184,             0.94782,              1.0467,                 0.2,              4.2257,                   0,             0.01493,             0.65492,             0.48044,                   0,             0.08727,             0.35616,                   0,                   0,                   0,                 0.5,             0.92957,                   0,                   0,              3.4996
             0.95193,             0.95862,             0.98255,             0.75264,            0.029325,            0.037157,           0.0094965,              0.0106,                0.01,             0.90825,              0.0006,              4.2892,             0.46671,             0.10731,             0.05897,             0.36076,              1.3686,             0.99368,              1.1103,                 0.2,              3.5934,                   0,             0.01677,             0.53281,             0.58276,                   0,             0.09015,             0.29471,                   0,                   0,                   0,                 0.5,             0.95473,                   0,                   0,                3.22
             0.95181,             0.96498,             0.98376,             0.75155,            0.026708,            0.038402,           0.0096031,             0.01061,                0.01,             0.92017,             0.00043,               3.048,             0.60775,             0.09561,              0.0528,              0.3548,              1.2257,               1.019,              1.0755,                 0.2,              4.0492,                   0,              0.0147,             0.69539,             0.43591,                   0,             0.08781,             0.37906,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              3.1484
